system:time_start,sst
"Jan 1, 2017",
"Jan 2, 2017",
"Jan 3, 2017",
"Jan 4, 2017",
"Jan 5, 2017",
"Jan 6, 2017",
"Jan 7, 2017",
"Jan 8, 2017",
"Jan 9, 2017",
"Jan 10, 2017",
"Jan 11, 2017",31.78
"Jan 12, 2017",
"Jan 13, 2017",
"Jan 14, 2017",
"Jan 15, 2017",
"Jan 16, 2017",
"Jan 17, 2017",29.74
"Jan 18, 2017",
"Jan 19, 2017",
"Jan 20, 2017",
"Jan 21, 2017",
"Jan 22, 2017",
"Jan 23, 2017",
"Jan 24, 2017",
"Jan 25, 2017",
"Jan 26, 2017",
"Jan 27, 2017",
"Jan 28, 2017",30.08
"Jan 29, 2017",
"Jan 30, 2017",
"Jan 31, 2017",
"Feb 1, 2017",
"Feb 2, 2017",
"Feb 3, 2017",
"Feb 4, 2017",
"Feb 5, 2017",
"Feb 6, 2017",
"Feb 7, 2017",
"Feb 8, 2017",
"Feb 9, 2017",
"Feb 10, 2017",
"Feb 11, 2017",
"Feb 12, 2017",
"Feb 13, 2017",
"Feb 14, 2017",
"Feb 15, 2017",29.145
"Feb 16, 2017",30.22
"Feb 17, 2017",
"Feb 18, 2017",29.32
"Feb 19, 2017",
"Feb 20, 2017",
"Feb 21, 2017",
"Feb 22, 2017",29.64
"Feb 23, 2017",30.505
"Feb 24, 2017",
"Feb 25, 2017",
"Feb 26, 2017",
"Feb 27, 2017",
"Feb 28, 2017",
"Mar 1, 2017",29.855
"Mar 2, 2017",
"Mar 3, 2017",
"Mar 4, 2017",
"Mar 5, 2017",
"Mar 6, 2017",
"Mar 7, 2017",
"Mar 8, 2017",
"Mar 9, 2017",
"Mar 10, 2017",
"Mar 11, 2017",
"Mar 12, 2017",
"Mar 13, 2017",29.74
"Mar 14, 2017",
"Mar 15, 2017",30.585
"Mar 16, 2017",
"Mar 17, 2017",
"Mar 18, 2017",29.165
"Mar 19, 2017",
"Mar 20, 2017",30.75
"Mar 21, 2017",
"Mar 22, 2017",
"Mar 23, 2017",
"Mar 24, 2017",30.38
"Mar 25, 2017",
"Mar 26, 2017",
"Mar 27, 2017",
"Mar 28, 2017",
"Mar 29, 2017",
"Mar 30, 2017",
"Mar 31, 2017",
"Apr 1, 2017",
"Apr 2, 2017",
"Apr 3, 2017",
"Apr 4, 2017",
"Apr 5, 2017",30.14
"Apr 6, 2017",
"Apr 7, 2017",30.5
"Apr 8, 2017",
"Apr 9, 2017",
"Apr 10, 2017",
"Apr 11, 2017",
"Apr 12, 2017",
"Apr 13, 2017",
"Apr 14, 2017",30.635
"Apr 15, 2017",
"Apr 16, 2017",30.395
"Apr 17, 2017",
"Apr 18, 2017",
"Apr 19, 2017",32.03
"Apr 20, 2017",
"Apr 21, 2017",30.58
